,자치구,동,sum1,sum_clus,총_점수_interval_10,수소충전소,주차장명,주차장구분,주차장유형,주차구획수,주차급지구분,주차부제시행구분,주차운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,주차요금정보,주차기본시간,주차기본요금,주차경도,주차위도,comp_clus
1,중구,중림동,-0.6066774454559636,6,6,0,충현 공영주차장,공영,노외,111.0,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,150.0,126.96621811,37.55954811,0
2,용산구,한남동,1.4666992541245598,8,8,0,용산주차빌딩,공영,노외,565.0,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,250.0,127.002074,37.539028,6
7,성동구,성수2가1동,-0.5220899038361189,6,7,0,성수2가1동(건물),공영,노외,165.0,4,미시행,평일+토요일+공휴일,09:00,18:00,00:00,23:59,유료,0.0,0.0,127.0563893,37.5368616,17
9,성동구,왕십리도선동,1.2346860024508095,8,8,0,홍익동(건물),공영,노외,85.0,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,유료,0.0,0.0,127.0338459,37.565856,5
10,성동구,왕십리도선동,1.2346860024508095,8,8,0,새싹마을 공영주차장,공영,노외,12.0,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,0.0,127.01098111,37.56868111,7
11,성동구,금호2.3가동,0.5080827889607358,7,7,0,금호초등학교(건물),공영,노외,124.0,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,유료,0.0,0.0,127.0194207,37.5523437,15
12,광진구,구의3동,-0.4502805910804209,6,7,0,구의3동 공영주차장,공영,노외,159.0,4,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,150.0,127.09136079870001,37.5391535787,19
13,성북구,삼선동,-2.9369850480399613,3,6,0,경동고,공영,노외,123.0,3,요일제,평일+토요일+공휴일,24:00,23:59,24:00,23:59,유료,5.0,150.0,127.012726,37.5861472,18
14,성북구,종암동,-0.4862877930874463,6,7,0,종암1동,공영,노외,21.0,3,미시행,평일+토요일+공휴일,09:00,22:00,09:00,14:00,혼합,5.0,150.0,127.031037,37.599277,10
15,노원구,상계1동,-0.7748394473577991,6,6,0,수락산역,공영,노외,158.0,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,100.0,127.055903,37.678552,11
16,마포구,용강동,1.0791047773371936,8,9,0,마포유수지,공영,노외,508.0,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,250.0,126.942649,37.53879000000001,9
17,마포구,망원2동,-0.9768548451185736,6,7,0,망원동,공영,노외,20.0,4,미시행,평일+토요일+공휴일,09:00,19:00,09:00,15:00,혼합,5.0,100.0,126.906454,37.559666,13
18,구로구,구로3동,2.279064097606645,8,6,0,구로3동 마을공동,공영,노외,20.0,5,요일제,평일,10:00,18:00,23:59,23:59,유료,5.0,50.0,126.888408,37.484981,1
19,구로구,구로3동,2.279064097606645,8,6,0,구로디지털단지역,공영,노외,93.0,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,100.0,126.90161100000002,37.485258,3
24,구로구,고척1동,-0.955688041600904,6,6,0,고척1동 마을공동,공영,노외,88.0,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,유료,5.0,100.0,126.863882,37.502261,14
25,구로구,오류2동,1.663783771388537,8,7,0,천왕역,공영,노외,330.0,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,100.0,126.83889,37.4866,8
26,구로구,구로2동,3.805829533193826,9,8,0,하늘공원 주차장,공영,노외,198.0,3,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,유료,5.0,150.0,126.880518,37.487394,4
28,구로구,개봉1동,0.04788026587297933,7,7,0,개봉1동 노외,공영,노외,134.0,4,요일제,평일+토요일+공휴일,00:00,23:59,00:00,23:59,유료,5.0,100.0,126.844893,37.505741,12
30,금천구,독산1동,1.3519359232069714,8,7,0,독산1동,공영,노외,66.0,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,30.0,390.0,126.8947892,37.4648929,2
35,관악구,행운동,-0.2315886258056339,7,6,0,행운동제1공영주차장,공영,노외,79.0,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,유료,5.0,150.0,126.960471,37.4797436,16
