,lpg_id,name,x_cor,y_cor,installed_2020,installed_2022,installed_2024,installed_2026,installed_2028,dong_id
0,0,덕마가스충전소,37.548710799999995,127.04272749999998,0,0,0,1,1,254
1,1,대성산업(주)동부충전소,37.5504541,127.05019270000001,0,0,0,0,1,256
2,2,현대오일뱅크 중곡동충전소,37.5600492,127.07152109999998,0,0,0,0,1,97
3,3,한양에너지(주),37.56495770000001,127.0743513,0,0,0,0,1,97
4,4,해양가스,37.5345877,127.08149099999999,0,0,0,0,1,106
5,5,수도에너지(주)동서울충전소,37.5896355,127.0572487,0,0,0,1,1,169
6,6,(주)홍릉가스충전소,37.591046,127.03904229999999,0,0,0,1,1,171
7,7,복지장안충전소,37.57615379999999,127.06503729999999,0,0,0,1,1,177
8,8,장안동가스충전소,37.5628972,127.05646770000001,0,0,0,1,1,178
9,9,(주)풍림에너지,37.5796396,127.07705020000002,0,0,0,1,1,411
10,10,동일석유(주)황금충전소,37.5941469,127.07365779999999,0,0,0,1,1,416
11,11,신내LPG충전소,37.6127083,127.09862530000001,0,0,0,1,1,420
12,12,망우충전소,37.6005662,127.0997273,0,0,0,0,1,424
13,13,우일에너지(주),37.6079111,127.0280595,0,0,0,1,1,271
14,14,(주)장위가스,37.6132323,127.05843529999999,0,0,0,1,1,276
15,15,서울와사공업(주),37.636197700000004,127.0223295,0,0,0,1,1,41
16,16,(주)청학에너지,37.628133,127.04186509999998,0,0,0,1,1,43
17,17,국제가스공업(주),37.634289700000004,127.01965679999999,0,0,0,0,1,44
18,18,케이와이에너지 (주)한영충전소,37.6605626,127.0391747,0,0,0,0,1,155
19,19,(주)에스케이행복에너지,37.665771299999996,127.04138030000001,0,0,0,0,1,158
20,20,동원가스충전소,37.6442559,127.03035659999999,0,0,0,0,1,162
21,21,(주)평안에너지 도봉충전소,37.6669495,127.00371969999999,0,0,0,0,1,166
22,22,복지공릉충전소,37.6387974,127.1073596,0,0,0,0,0,138
23,23,(주)노일가스,37.671411799999994,127.05336090000002,0,0,0,0,1,144
24,24,복지노원충전소,37.6868658,127.0536446,0,0,0,0,1,144
25,25,(주)평안에너지상계충전소,37.649170500000004,127.06485690000001,0,0,0,0,0,152
26,26,신성에너지주식회사,37.6290624,127.06866000000001,0,0,0,0,1,153
27,27,태능가스(주),37.6169558,127.0703365,0,0,0,0,1,153
28,28,신흥에너지산업(주),37.5785883,126.8981881,0,0,0,0,1,371
29,29,(주)삼표에너지 수색충전소,37.577704499999996,126.8991679,0,0,1,0,0,371
30,30,은평서부충전소,37.6436336,126.91902420000001,0,0,1,1,1,373
31,31,연일가스산업(주),37.5736524,126.90409409999998,0,0,0,1,1,221
32,32,(주)대흥가스,37.531076500000005,126.82973909999998,0,0,0,1,1,313
33,33,비케이서비스산업(주),37.5389711,126.8244415,0,0,0,0,1,317
34,34,(주)남양가스,37.5205794,126.83502390000001,0,0,0,0,1,319
35,35,수도에너지(주),37.5068869,126.83681409999998,0,0,0,1,1,322
36,36,복지신정충전소,37.5071347,126.8689771,0,0,0,0,1,324
37,37,목동충전소,37.5256,126.8618748,0,0,0,1,1,326
38,38,공항로충전소,37.553340000000006,126.8564504,0,0,0,0,1,56
39,39,복지마곡충전소,37.565115899999995,126.80653889999999,0,0,0,1,1,64
40,40,대영가스 충전소,37.565115899999995,126.80653889999999,0,0,1,0,0,64
41,41,대양가스충전소,37.5583883,126.8585873,0,0,0,1,1,66
42,42,(주)삼표에너지 김포충전소,37.5380632,126.7959011,0,0,0,1,1,68
43,43,강서가스충전소,37.5549768,126.76673799999999,0,0,1,0,1,68
44,44,(주)에너지플러스 오곡동충전소,37.555591,126.76601940000002,0,0,0,1,0,68
45,45,한경에너지,37.5706795,126.7948821,0,0,0,0,0,70
46,46,복지개화충전소,37.5747135,126.79955749999999,0,0,0,0,0,70
47,47,대흥에너지산업(주),37.52972379999999,126.84502930000001,0,1,1,1,1,72
48,48,동일석유(주)남부충전소,37.4842727,126.89976419999999,0,0,1,1,1,112
49,49,대성산업(주)오류동충전소,37.538042499999996,126.7280496,0,0,0,0,0,120
50,50,오승프라임산업(주),37.5069035,126.82690600000001,0,0,0,1,1,121
51,51,한일가스산업(주),37.5018823,126.87566559999999,0,0,0,1,1,123
52,52,개봉충전소,37.49642120000001,126.8583566,0,0,0,1,1,124
53,53,(주)중앙에너비스 삼중가스지점,37.4617966,126.8961355,0,0,0,0,1,127
54,54,양평동충전소,37.527935600000006,126.8889105,0,0,0,0,1,330
55,55,기린에너지,37.5362563,126.89676429999999,0,0,0,1,1,331
56,56,(주)세지,37.517433399999994,126.88625829999998,0,0,1,1,1,344
57,57,수도석유(주)방배충전소,37.4868961,126.973018,0,0,1,1,1,187
58,58,동일석유(주)동주충전소,37.4994173,126.9266463,0,0,1,1,1,191
59,59,명화가스(주),37.47367620000001,126.95127649999999,0,0,0,1,1,77
60,60,신림충전소,37.4735388,126.9319687,0,0,0,1,1,83
61,61,(주)영동가스,37.5188926,127.00966609999999,0,0,1,1,1,231
62,62,서초충전소,37.4730658,126.99327770000001,0,0,1,1,1,240
63,63,(주)에이치앤디이-서울만남의광장,37.4599063,127.03987140000001,0,0,0,0,0,243
64,64,(주)상현상사,37.5136307,127.0291575,0,0,1,1,1,3
65,65,진양가스,37.4905825,127.0346343,0,0,0,1,1,10
66,66,대치에너지주식회사,37.49929960000001,127.0759013,0,0,0,0,1,16
67,67,남서울가스(주),37.4977796,127.0733765,0,0,1,1,1,16
68,68,강남복지충전소,37.4763295,127.10327609999999,0,1,1,0,1,18
69,69,(주)수서에너지,37.482795700000004,127.10282579999999,0,0,0,1,1,18
70,70,오금가스충전소,37.5061584,127.12940829999998,0,0,1,1,1,291
71,71,홍익에너지(주),37.5081049,127.1014515,0,0,0,1,1,294
72,72,강동LPG충전소,37.503448600000006,127.08467549999999,0,0,0,0,1,303
73,73,복지상일충전소,37.5450485,127.1675848,0,0,0,1,1,24
74,74,암사충전소,37.551779100000005,127.1255452,0,0,0,0,1,29
75,75,(주)경기에너지,37.5364849,127.1268028,0,0,0,1,1,34
76,76,둔촌충전소,37.5252332,127.1444095,0,0,1,1,1,37
